region,xenovote,slavicshare,changenonslav,slavicshare_changenonslav,inc9903,eduhi02,unemp02,apt9200,vsall03,brdcont
65,13,59.989548,-1.0896225,-65.365959,2063,134,.76433122,35,5.0275908,0
66,12.5,74.426819,.380034,28.284719,2090,130,.86767894,35,5.9141598,0
67,17.6,93.383698,-.61542851,-57.470989,4019.4734,154.64526,.86292845,43.9851,5.5636964,1
68,11.9,84.809296,-.18609807,-15.782846,2695,135,.66592675,52,5.3570557,1
69,18.1,91.885353,.85438311,78.505295,3217,110,1.7301039,47,3.5798461,1
70,8.3999996,27.400127,.24502797,6.7137976,1932,129,.76103503,31,3.4617891,0
71,7.9000001,58.24855,12.986169,756.42548,5232,144,.52687037,36,5.1853681,0
72,11.4,98.071541,1.6855751,165.30695,2970,148,.65789473,43,4.904326,0
,,,,,,,,,,
,,,,,,,,,,
