,area_id,state,party,votes_first_vote,votes_second_vote
1,1,Schleswig-Holstein,CDU,68102,58307
300,1,Schleswig-Holstein,SPD,47697,40376
898,1,Schleswig-Holstein,The Greens,17899,22290
599,1,Schleswig-Holstein,Die Linke,12138,13995
1496,1,Schleswig-Holstein,FDP,11143,18948
1795,1,Schleswig-Holstein,AfD,10581,11647
2692,1,Schleswig-Holstein,others,1943,1189
12559,1,Schleswig-Holstein,others,755,0
1197,1,Schleswig-Holstein,CSU,0,0
2094,1,Schleswig-Holstein,Piraten,0,0
2393,1,Schleswig-Holstein,others,0,354
2991,1,Schleswig-Holstein,others,0,0
3290,1,Schleswig-Holstein,others,0,297
3589,1,Schleswig-Holstein,others,0,2091
3888,1,Schleswig-Holstein,others,0,0
4187,1,Schleswig-Holstein,others,0,0
4486,1,Schleswig-Holstein,others,0,0
4785,1,Schleswig-Holstein,others,0,59
5084,1,Schleswig-Holstein,others,0,0
5383,1,Schleswig-Holstein,others,0,0
5682,1,Schleswig-Holstein,others,0,0
5981,1,Schleswig-Holstein,others,0,0
6280,1,Schleswig-Holstein,others,0,0
6579,1,Schleswig-Holstein,others,0,0
6878,1,Schleswig-Holstein,others,0,843
7177,1,Schleswig-Holstein,others,0,0
7476,1,Schleswig-Holstein,others,0,0
7775,1,Schleswig-Holstein,others,0,0
8074,1,Schleswig-Holstein,others,0,0
8373,1,Schleswig-Holstein,others,0,0
8672,1,Schleswig-Holstein,others,0,0
8971,1,Schleswig-Holstein,others,0,0
9270,1,Schleswig-Holstein,others,0,0
9569,1,Schleswig-Holstein,others,0,0
9868,1,Schleswig-Holstein,others,0,0
10167,1,Schleswig-Holstein,others,0,0
10466,1,Schleswig-Holstein,others,0,0
10765,1,Schleswig-Holstein,others,0,0
11064,1,Schleswig-Holstein,others,0,0
11363,1,Schleswig-Holstein,others,0,0
11662,1,Schleswig-Holstein,others,0,0
11961,1,Schleswig-Holstein,others,0,0
12260,1,Schleswig-Holstein,others,0,0
2,2,Schleswig-Holstein,CDU,62260,52933
301,2,Schleswig-Holstein,SPD,34685,31120
899,2,Schleswig-Holstein,The Greens,13036,15154
1497,2,Schleswig-Holstein,FDP,11103,18048
1796,2,Schleswig-Holstein,AfD,8110,9023
600,2,Schleswig-Holstein,Die Linke,7102,8589
2693,2,Schleswig-Holstein,others,1605,855
1198,2,Schleswig-Holstein,CSU,0,0
2095,2,Schleswig-Holstein,Piraten,0,0
2394,2,Schleswig-Holstein,others,0,311
2992,2,Schleswig-Holstein,others,0,0
3291,2,Schleswig-Holstein,others,0,173
3590,2,Schleswig-Holstein,others,0,1376
3889,2,Schleswig-Holstein,others,0,0
4188,2,Schleswig-Holstein,others,0,0
4487,2,Schleswig-Holstein,others,0,0
4786,2,Schleswig-Holstein,others,0,63
5085,2,Schleswig-Holstein,others,0,0
5384,2,Schleswig-Holstein,others,0,0
5683,2,Schleswig-Holstein,others,0,0
5982,2,Schleswig-Holstein,others,0,0
6281,2,Schleswig-Holstein,others,0,0
6580,2,Schleswig-Holstein,others,0,0
6879,2,Schleswig-Holstein,others,0,430
7178,2,Schleswig-Holstein,others,0,0
7477,2,Schleswig-Holstein,others,0,0
7776,2,Schleswig-Holstein,others,0,0
8075,2,Schleswig-Holstein,others,0,0
8374,2,Schleswig-Holstein,others,0,0
8673,2,Schleswig-Holstein,others,0,0
8972,2,Schleswig-Holstein,others,0,0
9271,2,Schleswig-Holstein,others,0,0
9570,2,Schleswig-Holstein,others,0,0
9869,2,Schleswig-Holstein,others,0,0
10168,2,Schleswig-Holstein,others,0,0
10467,2,Schleswig-Holstein,others,0,0
10766,2,Schleswig-Holstein,others,0,0
11065,2,Schleswig-Holstein,others,0,0
11364,2,Schleswig-Holstein,others,0,0
11663,2,Schleswig-Holstein,others,0,0
11962,2,Schleswig-Holstein,others,0,0
12261,2,Schleswig-Holstein,others,0,0
12560,2,Schleswig-Holstein,others,0,0
3,3,Schleswig-Holstein,CDU,54812,47367
302,3,Schleswig-Holstein,SPD,34221,29757
1498,3,Schleswig-Holstein,FDP,14441,17294
1797,3,Schleswig-Holstein,AfD,10003,11176
900,3,Schleswig-Holstein,The Greens,8791,12960
601,3,Schleswig-Holstein,Die Linke,7175,8732
2694,3,Schleswig-Holstein,others,1277,1002
4787,3,Schleswig-Holstein,others,163,62
1199,3,Schleswig-Holstein,CSU,0,0
2096,3,Schleswig-Holstein,Piraten,0,0
2395,3,Schleswig-Holstein,others,0,472
2993,3,Schleswig-Holstein,others,0,0
3292,3,Schleswig-Holstein,others,0,192
3591,3,Schleswig-Holstein,others,0,1446
3890,3,Schleswig-Holstein,others,0,0
4189,3,Schleswig-Holstein,others,0,0
4488,3,Schleswig-Holstein,others,0,0
5086,3,Schleswig-Holstein,others,0,0
5385,3,Schleswig-Holstein,others,0,0
5684,3,Schleswig-Holstein,others,0,0
5983,3,Schleswig-Holstein,others,0,0
6282,3,Schleswig-Holstein,others,0,0
6581,3,Schleswig-Holstein,others,0,0
6880,3,Schleswig-Holstein,others,0,415
7179,3,Schleswig-Holstein,others,0,0
7478,3,Schleswig-Holstein,others,0,0
7777,3,Schleswig-Holstein,others,0,0
8076,3,Schleswig-Holstein,others,0,0
8375,3,Schleswig-Holstein,others,0,0
8674,3,Schleswig-Holstein,others,0,0
8973,3,Schleswig-Holstein,others,0,0
9272,3,Schleswig-Holstein,others,0,0
9571,3,Schleswig-Holstein,others,0,0
9870,3,Schleswig-Holstein,others,0,0
10169,3,Schleswig-Holstein,others,0,0
10468,3,Schleswig-Holstein,others,0,0
10767,3,Schleswig-Holstein,others,0,0
11066,3,Schleswig-Holstein,others,0,0
11365,3,Schleswig-Holstein,others,0,0
11664,3,Schleswig-Holstein,others,0,0
11963,3,Schleswig-Holstein,others,0,0
12262,3,Schleswig-Holstein,others,0,0
12561,3,Schleswig-Holstein,others,0,0
4,4,Schleswig-Holstein,CDU,66625,56584
303,4,Schleswig-Holstein,SPD,45070,35767
901,4,Schleswig-Holstein,The Greens,13978,19337
1798,4,Schleswig-Holstein,AfD,10656,11578
1499,4,Schleswig-Holstein,FDP,10077,19071
602,4,Schleswig-Holstein,Die Linke,8074,9962
2695,4,Schleswig-Holstein,others,1622,1031
1200,4,Schleswig-Holstein,CSU,0,0
2097,4,Schleswig-Holstein,Piraten,0,0
2396,4,Schleswig-Holstein,others,0,308
2994,4,Schleswig-Holstein,others,0,0
3293,4,Schleswig-Holstein,others,0,237
3592,4,Schleswig-Holstein,others,0,1754
3891,4,Schleswig-Holstein,others,0,0
4190,4,Schleswig-Holstein,others,0,0
4489,4,Schleswig-Holstein,others,0,0
4788,4,Schleswig-Holstein,others,0,55
5087,4,Schleswig-Holstein,others,0,0
5386,4,Schleswig-Holstein,others,0,0
5685,4,Schleswig-Holstein,others,0,0
5984,4,Schleswig-Holstein,others,0,0
6283,4,Schleswig-Holstein,others,0,0
6582,4,Schleswig-Holstein,others,0,0
6881,4,Schleswig-Holstein,others,0,584
7180,4,Schleswig-Holstein,others,0,0
7479,4,Schleswig-Holstein,others,0,0
7778,4,Schleswig-Holstein,others,0,0
8077,4,Schleswig-Holstein,others,0,0
8376,4,Schleswig-Holstein,others,0,0
8675,4,Schleswig-Holstein,others,0,0
8974,4,Schleswig-Holstein,others,0,0
9273,4,Schleswig-Holstein,others,0,0
9572,4,Schleswig-Holstein,others,0,0
9871,4,Schleswig-Holstein,others,0,0
10170,4,Schleswig-Holstein,others,0,0
10469,4,Schleswig-Holstein,others,0,0
10768,4,Schleswig-Holstein,others,0,0
11067,4,Schleswig-Holstein,others,0,0
11366,4,Schleswig-Holstein,others,0,0
11665,4,Schleswig-Holstein,others,0,0
11964,4,Schleswig-Holstein,others,0,0
12263,4,Schleswig-Holstein,others,0,0
12562,4,Schleswig-Holstein,others,0,0
304,5,Schleswig-Holstein,SPD,46517,35836
5,5,Schleswig-Holstein,CDU,45691,40011
902,5,Schleswig-Holstein,The Greens,21577,25904
1500,5,Schleswig-Holstein,FDP,11179,17480
603,5,Schleswig-Holstein,Die Linke,11050,15466
1799,5,Schleswig-Holstein,AfD,9193,10390
3593,5,Schleswig-Holstein,others,3995,3186
11965,5,Schleswig-Holstein,others,339,0
4789,5,Schleswig-Holstein,others,265,147
1201,5,Schleswig-Holstein,CSU,0,0
2098,5,Schleswig-Holstein,Piraten,0,0
2397,5,Schleswig-Holstein,others,0,250
2696,5,Schleswig-Holstein,others,0,537
2995,5,Schleswig-Holstein,others,0,0
3294,5,Schleswig-Holstein,others,0,341
3892,5,Schleswig-Holstein,others,0,0
4191,5,Schleswig-Holstein,others,0,0
4490,5,Schleswig-Holstein,others,0,0
5088,5,Schleswig-Holstein,others,0,0
5387,5,Schleswig-Holstein,others,0,0
5686,5,Schleswig-Holstein,others,0,0
5985,5,Schleswig-Holstein,others,0,0
6284,5,Schleswig-Holstein,others,0,0
6583,5,Schleswig-Holstein,others,0,0
6882,5,Schleswig-Holstein,others,0,625
7181,5,Schleswig-Holstein,others,0,0
7480,5,Schleswig-Holstein,others,0,0
7779,5,Schleswig-Holstein,others,0,0
8078,5,Schleswig-Holstein,others,0,0
8377,5,Schleswig-Holstein,others,0,0
8676,5,Schleswig-Holstein,others,0,0
8975,5,Schleswig-Holstein,others,0,0
9274,5,Schleswig-Holstein,others,0,0
9573,5,Schleswig-Holstein,others,0,0
9872,5,Schleswig-Holstein,others,0,0
10171,5,Schleswig-Holstein,others,0,0
10470,5,Schleswig-Holstein,others,0,0
10769,5,Schleswig-Holstein,others,0,0
11068,5,Schleswig-Holstein,others,0,0
11367,5,Schleswig-Holstein,others,0,0
11666,5,Schleswig-Holstein,others,0,0
12264,5,Schleswig-Holstein,others,0,0
12563,5,Schleswig-Holstein,others,0,0
6,6,Schleswig-Holstein,CDU,53109,43778
305,6,Schleswig-Holstein,SPD,37728,31013
903,6,Schleswig-Holstein,The Greens,11736,16350
1800,6,Schleswig-Holstein,AfD,10223,11161
1501,6,Schleswig-Holstein,FDP,9379,16481
604,6,Schleswig-Holstein,Die Linke,7009,8503
2697,6,Schleswig-Holstein,others,1305,752
1202,6,Schleswig-Holstein,CSU,0,0
2099,6,Schleswig-Holstein,Piraten,0,0
2398,6,Schleswig-Holstein,others,0,476
2996,6,Schleswig-Holstein,others,0,0
3295,6,Schleswig-Holstein,others,0,186
3594,6,Schleswig-Holstein,others,0,1342
3893,6,Schleswig-Holstein,others,0,0
4192,6,Schleswig-Holstein,others,0,0
4491,6,Schleswig-Holstein,others,0,0
4790,6,Schleswig-Holstein,others,0,61
5089,6,Schleswig-Holstein,others,0,0
5388,6,Schleswig-Holstein,others,0,0
5687,6,Schleswig-Holstein,others,0,0
5986,6,Schleswig-Holstein,others,0,0
6285,6,Schleswig-Holstein,others,0,0
6584,6,Schleswig-Holstein,others,0,0
6883,6,Schleswig-Holstein,others,0,411
7182,6,Schleswig-Holstein,others,0,0
7481,6,Schleswig-Holstein,others,0,0
7780,6,Schleswig-Holstein,others,0,0
8079,6,Schleswig-Holstein,others,0,0
8378,6,Schleswig-Holstein,others,0,0
8677,6,Schleswig-Holstein,others,0,0
8976,6,Schleswig-Holstein,others,0,0
9275,6,Schleswig-Holstein,others,0,0
9574,6,Schleswig-Holstein,others,0,0
9873,6,Schleswig-Holstein,others,0,0
10172,6,Schleswig-Holstein,others,0,0
10471,6,Schleswig-Holstein,others,0,0
10770,6,Schleswig-Holstein,others,0,0
11069,6,Schleswig-Holstein,others,0,0
11368,6,Schleswig-Holstein,others,0,0
11667,6,Schleswig-Holstein,others,0,0
11966,6,Schleswig-Holstein,others,0,0
12265,6,Schleswig-Holstein,others,0,0
12564,6,Schleswig-Holstein,others,0,0
7,7,Schleswig-Holstein,CDU,73816,63863
306,7,Schleswig-Holstein,SPD,56460,42729
904,7,Schleswig-Holstein,The Greens,15379,21336
1801,7,Schleswig-Holstein,AfD,14729,15977
1502,7,Schleswig-Holstein,FDP,14441,24735
605,7,Schleswig-Holstein,Die Linke,11270,13111
1203,7,Schleswig-Holstein,CSU,0,0
2100,7,Schleswig-Holstein,Piraten,0,0
2399,7,Schleswig-Holstein,others,0,446
2698,7,Schleswig-Holstein,others,0,954
2997,7,Schleswig-Holstein,others,0,0
3296,7,Schleswig-Holstein,others,0,428
3595,7,Schleswig-Holstein,others,0,2200
3894,7,Schleswig-Holstein,others,0,0
4193,7,Schleswig-Holstein,others,0,0
4492,7,Schleswig-Holstein,others,0,0
4791,7,Schleswig-Holstein,others,0,52
5090,7,Schleswig-Holstein,others,0,0
5389,7,Schleswig-Holstein,others,0,0
5688,7,Schleswig-Holstein,others,0,0
5987,7,Schleswig-Holstein,others,0,0
6286,7,Schleswig-Holstein,others,0,0
6585,7,Schleswig-Holstein,others,0,0
6884,7,Schleswig-Holstein,others,0,541
7183,7,Schleswig-Holstein,others,0,0
7482,7,Schleswig-Holstein,others,0,0
7781,7,Schleswig-Holstein,others,0,0
8080,7,Schleswig-Holstein,others,0,0
8379,7,Schleswig-Holstein,others,0,0
8678,7,Schleswig-Holstein,others,0,0
8977,7,Schleswig-Holstein,others,0,0
9276,7,Schleswig-Holstein,others,0,0
9575,7,Schleswig-Holstein,others,0,0
9874,7,Schleswig-Holstein,others,0,0
10173,7,Schleswig-Holstein,others,0,0
10472,7,Schleswig-Holstein,others,0,0
10771,7,Schleswig-Holstein,others,0,0
11070,7,Schleswig-Holstein,others,0,0
11369,7,Schleswig-Holstein,others,0,0
11668,7,Schleswig-Holstein,others,0,0
11967,7,Schleswig-Holstein,others,0,0
12266,7,Schleswig-Holstein,others,0,0
12565,7,Schleswig-Holstein,others,0,0
8,8,Schleswig-Holstein,CDU,78788,66367
307,8,Schleswig-Holstein,SPD,52406,43021
905,8,Schleswig-Holstein,The Greens,16001,21010
1802,8,Schleswig-Holstein,AfD,15683,17166
1503,8,Schleswig-Holstein,FDP,15610,26042
606,8,Schleswig-Holstein,Die Linke,10832,13237
2699,8,Schleswig-Holstein,others,2370,1531
1204,8,Schleswig-Holstein,CSU,0,0
2101,8,Schleswig-Holstein,Piraten,0,0
2400,8,Schleswig-Holstein,others,0,463
2998,8,Schleswig-Holstein,others,0,0
3297,8,Schleswig-Holstein,others,0,392
3596,8,Schleswig-Holstein,others,0,2136
3895,8,Schleswig-Holstein,others,0,0
4194,8,Schleswig-Holstein,others,0,0
4493,8,Schleswig-Holstein,others,0,0
4792,8,Schleswig-Holstein,others,0,69
5091,8,Schleswig-Holstein,others,0,0
5390,8,Schleswig-Holstein,others,0,0
5689,8,Schleswig-Holstein,others,0,0
5988,8,Schleswig-Holstein,others,0,0
6287,8,Schleswig-Holstein,others,0,0
6586,8,Schleswig-Holstein,others,0,0
6885,8,Schleswig-Holstein,others,0,503
7184,8,Schleswig-Holstein,others,0,0
7483,8,Schleswig-Holstein,others,0,0
7782,8,Schleswig-Holstein,others,0,0
8081,8,Schleswig-Holstein,others,0,0
8380,8,Schleswig-Holstein,others,0,0
8679,8,Schleswig-Holstein,others,0,0
8978,8,Schleswig-Holstein,others,0,0
9277,8,Schleswig-Holstein,others,0,0
9576,8,Schleswig-Holstein,others,0,0
9875,8,Schleswig-Holstein,others,0,0
10174,8,Schleswig-Holstein,others,0,0
10473,8,Schleswig-Holstein,others,0,0
10772,8,Schleswig-Holstein,others,0,0
11071,8,Schleswig-Holstein,others,0,0
11370,8,Schleswig-Holstein,others,0,0
11669,8,Schleswig-Holstein,others,0,0
11968,8,Schleswig-Holstein,others,0,0
12267,8,Schleswig-Holstein,others,0,0
12566,8,Schleswig-Holstein,others,0,0
9,9,Schleswig-Holstein,CDU,56994,48893
308,9,Schleswig-Holstein,SPD,42221,33762
1803,9,Schleswig-Holstein,AfD,10787,11780
1504,9,Schleswig-Holstein,FDP,10044,18140
906,9,Schleswig-Holstein,The Greens,9535,13489
607,9,Schleswig-Holstein,Die Linke,6062,8301
2700,9,Schleswig-Holstein,others,1116,868
11072,9,Schleswig-Holstein,others,505,0
1205,9,Schleswig-Holstein,CSU,0,0
2102,9,Schleswig-Holstein,Piraten,0,0
2401,9,Schleswig-Holstein,others,0,303
2999,9,Schleswig-Holstein,others,0,0
3298,9,Schleswig-Holstein,others,0,179
3597,9,Schleswig-Holstein,others,0,1205
3896,9,Schleswig-Holstein,others,0,0
4195,9,Schleswig-Holstein,others,0,0
4494,9,Schleswig-Holstein,others,0,0
4793,9,Schleswig-Holstein,others,0,42
5092,9,Schleswig-Holstein,others,0,0
5391,9,Schleswig-Holstein,others,0,0
5690,9,Schleswig-Holstein,others,0,0
5989,9,Schleswig-Holstein,others,0,0
6288,9,Schleswig-Holstein,others,0,0
6587,9,Schleswig-Holstein,others,0,0
6886,9,Schleswig-Holstein,others,0,311
7185,9,Schleswig-Holstein,others,0,0
7484,9,Schleswig-Holstein,others,0,0
7783,9,Schleswig-Holstein,others,0,0
8082,9,Schleswig-Holstein,others,0,0
8381,9,Schleswig-Holstein,others,0,0
8680,9,Schleswig-Holstein,others,0,0
8979,9,Schleswig-Holstein,others,0,0
9278,9,Schleswig-Holstein,others,0,0
9577,9,Schleswig-Holstein,others,0,0
9876,9,Schleswig-Holstein,others,0,0
10175,9,Schleswig-Holstein,others,0,0
10474,9,Schleswig-Holstein,others,0,0
10773,9,Schleswig-Holstein,others,0,0
11371,9,Schleswig-Holstein,others,0,0
11670,9,Schleswig-Holstein,others,0,0
11969,9,Schleswig-Holstein,others,0,0
12268,9,Schleswig-Holstein,others,0,0
12567,9,Schleswig-Holstein,others,0,0
10,10,Schleswig-Holstein,CDU,75737,66033
309,10,Schleswig-Holstein,SPD,52169,42813
907,10,Schleswig-Holstein,The Greens,18688,20827
1804,10,Schleswig-Holstein,AfD,17435,18791
1505,10,Schleswig-Holstein,FDP,15773,26162
608,10,Schleswig-Holstein,Die Linke,9785,12478
2701,10,Schleswig-Holstein,others,2175,1265
1206,10,Schleswig-Holstein,CSU,0,0
2103,10,Schleswig-Holstein,Piraten,0,0
2402,10,Schleswig-Holstein,others,0,491
3000,10,Schleswig-Holstein,others,0,0
3299,10,Schleswig-Holstein,others,0,424
3598,10,Schleswig-Holstein,others,0,2112
3897,10,Schleswig-Holstein,others,0,0
4196,10,Schleswig-Holstein,others,0,0
4495,10,Schleswig-Holstein,others,0,0
4794,10,Schleswig-Holstein,others,0,51
5093,10,Schleswig-Holstein,others,0,0
5392,10,Schleswig-Holstein,others,0,0
5691,10,Schleswig-Holstein,others,0,0
5990,10,Schleswig-Holstein,others,0,0
6289,10,Schleswig-Holstein,others,0,0
6588,10,Schleswig-Holstein,others,0,0
6887,10,Schleswig-Holstein,others,0,524
7186,10,Schleswig-Holstein,others,0,0
7485,10,Schleswig-Holstein,others,0,0
7784,10,Schleswig-Holstein,others,0,0
8083,10,Schleswig-Holstein,others,0,0
8382,10,Schleswig-Holstein,others,0,0
8681,10,Schleswig-Holstein,others,0,0
8980,10,Schleswig-Holstein,others,0,0
9279,10,Schleswig-Holstein,others,0,0
9578,10,Schleswig-Holstein,others,0,0
9877,10,Schleswig-Holstein,others,0,0
10176,10,Schleswig-Holstein,others,0,0
10475,10,Schleswig-Holstein,others,0,0
10774,10,Schleswig-Holstein,others,0,0
11073,10,Schleswig-Holstein,others,0,0
11372,10,Schleswig-Holstein,others,0,0
11671,10,Schleswig-Holstein,others,0,0
11970,10,Schleswig-Holstein,others,0,0
12269,10,Schleswig-Holstein,others,0,0
12568,10,Schleswig-Holstein,others,0,0
11,11,Schleswig-Holstein,CDU,45447,38262
310,11,Schleswig-Holstein,SPD,43574,32927
908,11,Schleswig-Holstein,The Greens,16787,16558
1805,11,Schleswig-Holstein,AfD,11135,11549
1506,11,Schleswig-Holstein,FDP,8311,14102
2702,11,Schleswig-Holstein,others,2552,1090
4795,11,Schleswig-Holstein,others,953,162
609,11,Schleswig-Holstein,Die Linke,0,12219
1207,11,Schleswig-Holstein,CSU,0,0
2104,11,Schleswig-Holstein,Piraten,0,0
2403,11,Schleswig-Holstein,others,0,350
3001,11,Schleswig-Holstein,others,0,0
3300,11,Schleswig-Holstein,others,0,266
3599,11,Schleswig-Holstein,others,0,1845
3898,11,Schleswig-Holstein,others,0,0
4197,11,Schleswig-Holstein,others,0,0
4496,11,Schleswig-Holstein,others,0,0
5094,11,Schleswig-Holstein,others,0,0
5393,11,Schleswig-Holstein,others,0,0
5692,11,Schleswig-Holstein,others,0,0
5991,11,Schleswig-Holstein,others,0,0
6290,11,Schleswig-Holstein,others,0,0
6589,11,Schleswig-Holstein,others,0,0
6888,11,Schleswig-Holstein,others,0,475
7187,11,Schleswig-Holstein,others,0,0
7486,11,Schleswig-Holstein,others,0,0
7785,11,Schleswig-Holstein,others,0,0
8084,11,Schleswig-Holstein,others,0,0
8383,11,Schleswig-Holstein,others,0,0
8682,11,Schleswig-Holstein,others,0,0
8981,11,Schleswig-Holstein,others,0,0
9280,11,Schleswig-Holstein,others,0,0
9579,11,Schleswig-Holstein,others,0,0
9878,11,Schleswig-Holstein,others,0,0
10177,11,Schleswig-Holstein,others,0,0
10476,11,Schleswig-Holstein,others,0,0
10775,11,Schleswig-Holstein,others,0,0
11074,11,Schleswig-Holstein,others,0,0
11373,11,Schleswig-Holstein,others,0,0
11672,11,Schleswig-Holstein,others,0,0
11971,11,Schleswig-Holstein,others,0,0
12270,11,Schleswig-Holstein,others,0,0
12569,11,Schleswig-Holstein,others,0,0
12,12,Mecklenburg-Vorpommern,CDU,49734,51082
311,12,Mecklenburg-Vorpommern,SPD,34267,28948
610,12,Mecklenburg-Vorpommern,Die Linke,26656,25929
1806,12,Mecklenburg-Vorpommern,AfD,24763,25692
1507,12,Mecklenburg-Vorpommern,FDP,7470,9878
909,12,Mecklenburg-Vorpommern,The Greens,5837,6606
2703,12,Mecklenburg-Vorpommern,others,3875,1626
2404,12,Mecklenburg-Vorpommern,others,1516,1701
12570,12,Mecklenburg-Vorpommern,others,548,0
4796,12,Mecklenburg-Vorpommern,others,437,231
1208,12,Mecklenburg-Vorpommern,CSU,0,0
2105,12,Mecklenburg-Vorpommern,Piraten,0,0
3002,12,Mecklenburg-Vorpommern,others,0,1791
3301,12,Mecklenburg-Vorpommern,others,0,147
3600,12,Mecklenburg-Vorpommern,others,0,1365
3899,12,Mecklenburg-Vorpommern,others,0,0
4198,12,Mecklenburg-Vorpommern,others,0,0
4497,12,Mecklenburg-Vorpommern,others,0,0
5095,12,Mecklenburg-Vorpommern,others,0,0
5394,12,Mecklenburg-Vorpommern,others,0,0
5693,12,Mecklenburg-Vorpommern,others,0,0
5992,12,Mecklenburg-Vorpommern,others,0,0
6291,12,Mecklenburg-Vorpommern,others,0,0
6590,12,Mecklenburg-Vorpommern,others,0,0
6889,12,Mecklenburg-Vorpommern,others,0,416
7188,12,Mecklenburg-Vorpommern,others,0,0
7487,12,Mecklenburg-Vorpommern,others,0,0
7786,12,Mecklenburg-Vorpommern,others,0,0
8085,12,Mecklenburg-Vorpommern,others,0,0
8384,12,Mecklenburg-Vorpommern,others,0,0
8683,12,Mecklenburg-Vorpommern,others,0,0
8982,12,Mecklenburg-Vorpommern,others,0,0
9281,12,Mecklenburg-Vorpommern,others,0,0
9580,12,Mecklenburg-Vorpommern,others,0,0
9879,12,Mecklenburg-Vorpommern,others,0,0
10178,12,Mecklenburg-Vorpommern,others,0,0
10477,12,Mecklenburg-Vorpommern,others,0,0
10776,12,Mecklenburg-Vorpommern,others,0,0
11075,12,Mecklenburg-Vorpommern,others,0,0
11374,12,Mecklenburg-Vorpommern,others,0,0
11673,12,Mecklenburg-Vorpommern,others,0,0
11972,12,Mecklenburg-Vorpommern,others,0,0
12271,12,Mecklenburg-Vorpommern,others,0,0
13,13,Mecklenburg-Vorpommern,CDU,43452,48841
312,13,Mecklenburg-Vorpommern,SPD,34703,25029
1807,13,Mecklenburg-Vorpommern,AfD,25262,25686
611,13,Mecklenburg-Vorpommern,Die Linke,23434,24407
1508,13,Mecklenburg-Vorpommern,FDP,8290,9008
910,13,Mecklenburg-Vorpommern,The Greens,5858,5521
2704,13,Mecklenburg-Vorpommern,others,2573,1214
2405,13,Mecklenburg-Vorpommern,others,1264,1642
1209,13,Mecklenburg-Vorpommern,CSU,0,0
2106,13,Mecklenburg-Vorpommern,Piraten,0,0
3003,13,Mecklenburg-Vorpommern,others,0,1810
3302,13,Mecklenburg-Vorpommern,others,0,213
3601,13,Mecklenburg-Vorpommern,others,0,1187
3900,13,Mecklenburg-Vorpommern,others,0,0
4199,13,Mecklenburg-Vorpommern,others,0,0
4498,13,Mecklenburg-Vorpommern,others,0,0
4797,13,Mecklenburg-Vorpommern,others,0,195
5096,13,Mecklenburg-Vorpommern,others,0,0
5395,13,Mecklenburg-Vorpommern,others,0,0
5694,13,Mecklenburg-Vorpommern,others,0,0
5993,13,Mecklenburg-Vorpommern,others,0,0
6292,13,Mecklenburg-Vorpommern,others,0,0
6591,13,Mecklenburg-Vorpommern,others,0,0
6890,13,Mecklenburg-Vorpommern,others,0,355
7189,13,Mecklenburg-Vorpommern,others,0,0
7488,13,Mecklenburg-Vorpommern,others,0,0
7787,13,Mecklenburg-Vorpommern,others,0,0
8086,13,Mecklenburg-Vorpommern,others,0,0
8385,13,Mecklenburg-Vorpommern,others,0,0
8684,13,Mecklenburg-Vorpommern,others,0,0
8983,13,Mecklenburg-Vorpommern,others,0,0
9282,13,Mecklenburg-Vorpommern,others,0,0
9581,13,Mecklenburg-Vorpommern,others,0,0
9880,13,Mecklenburg-Vorpommern,others,0,0
10179,13,Mecklenburg-Vorpommern,others,0,0
10478,13,Mecklenburg-Vorpommern,others,0,0
10777,13,Mecklenburg-Vorpommern,others,0,0
11076,13,Mecklenburg-Vorpommern,others,0,0
11375,13,Mecklenburg-Vorpommern,others,0,0
11674,13,Mecklenburg-Vorpommern,others,0,0
11973,13,Mecklenburg-Vorpommern,others,0,0
12272,13,Mecklenburg-Vorpommern,others,0,0
12571,13,Mecklenburg-Vorpommern,others,0,0
14,14,Mecklenburg-Vorpommern,CDU,47924,49433
612,14,Mecklenburg-Vorpommern,Die Linke,40196,33575
313,14,Mecklenburg-Vorpommern,SPD,29056,25640
1808,14,Mecklenburg-Vorpommern,AfD,23779,25170
911,14,Mecklenburg-Vorpommern,The Greens,8343,10226
1509,14,Mecklenburg-Vorpommern,FDP,7368,10652
3602,14,Mecklenburg-Vorpommern,others,3113,2517
2705,14,Mecklenburg-Vorpommern,others,1453,954
3303,14,Mecklenburg-Vorpommern,others,607,349
4798,14,Mecklenburg-Vorpommern,others,399,302
1210,14,Mecklenburg-Vorpommern,CSU,0,0
2107,14,Mecklenburg-Vorpommern,Piraten,0,0
2406,14,Mecklenburg-Vorpommern,others,0,916
3004,14,Mecklenburg-Vorpommern,others,0,2008
3901,14,Mecklenburg-Vorpommern,others,0,0
4200,14,Mecklenburg-Vorpommern,others,0,0
4499,14,Mecklenburg-Vorpommern,others,0,0
5097,14,Mecklenburg-Vorpommern,others,0,0
5396,14,Mecklenburg-Vorpommern,others,0,0
5695,14,Mecklenburg-Vorpommern,others,0,0
5994,14,Mecklenburg-Vorpommern,others,0,0
6293,14,Mecklenburg-Vorpommern,others,0,0
6592,14,Mecklenburg-Vorpommern,others,0,0
6891,14,Mecklenburg-Vorpommern,others,0,564
7190,14,Mecklenburg-Vorpommern,others,0,0
7489,14,Mecklenburg-Vorpommern,others,0,0
7788,14,Mecklenburg-Vorpommern,others,0,0
8087,14,Mecklenburg-Vorpommern,others,0,0
8386,14,Mecklenburg-Vorpommern,others,0,0
8685,14,Mecklenburg-Vorpommern,others,0,0
8984,14,Mecklenburg-Vorpommern,others,0,0
9283,14,Mecklenburg-Vorpommern,others,0,0
9582,14,Mecklenburg-Vorpommern,others,0,0
9881,14,Mecklenburg-Vorpommern,others,0,0
